,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-02-28 23:59:00,43175.71,43177.58,43178.25,43178.26,43178.33,43178.99,43179.51,43179.52,43179.86,43179.87,0.50679,0.00092,0.00683,0.01884,0.02114,0.00047,0.1857,0.79328,0.2314,0.72433,43175.7,43175.08,43173.1,43172.08,43171.97,43171.22,43170.8,43169.33,43169.22,43168.74,0.14529,0.1303,0.02478,0.10336,0.00324,2.737,0.01022,0.18359,0.04819,0.00134
2022-02-28 23:59:00,43179.81,43179.84,43179.85,43180.73,43182.05,43182.28,43182.99,43183.26,43183.55,43184.13,0.12194,0.05497,0.01217,0.02491,0.79054,0.36689,0.0155,0.67005,0.39274,0.154,43179.8,43177.51,43177.5,43176.75,43176.73,43176.72,43176.65,43175.0,43174.88,43174.55,0.50808,0.01158,0.00093,0.59458,0.05303,3.98595,0.13562,0.00231,0.02545,0.60949
2022-03-01 00:01:00,43285.15,43285.3,43285.37,43285.58,43285.65,43285.7,43285.71,43287.28,43287.5,43288.74,0.75622,0.0004,0.0215,0.02311,0.00024,0.0003,0.00026,0.86275,0.00049,0.0344,43285.14,43284.9,43284.78,43284.05,43283.67,43283.52,43282.53,43282.48,43282.15,43280.32,1.26997,0.39912,0.19952,0.19949,0.19956,0.19949,0.49878,0.39894,0.385,0.53621
2022-03-01 00:02:00,43450.01,43450.11,43450.12,43450.43,43451.09,43451.32,43452.11,43453.56,43456.18,43456.46,0.69054,0.0115,0.3224,0.02386,0.05088,0.53151,0.05549,0.03686,0.23015,0.154,43450.0,43447.32,43447.31,43446.09,43444.02,43442.85,43442.8,43442.18,43441.88,43439.32,0.06552,0.0115,0.00425,1.06788,0.00134,0.00188,0.2159,0.001,0.41616,0.52753
2022-03-01 00:03:00,43326.16,43328.13,43330.56,43332.02,43332.03,43332.04,43332.07,43332.08,43335.05,43335.06,0.14709,0.02001,0.00134,0.26981,0.00304,0.00898,0.003,0.44861,0.09001,0.3302,43326.15,43323.58,43323.57,43323.56,43321.79,43321.78,43321.77,43320.62,43320.22,43319.61,1.04554,0.07104,0.96154,0.05354,0.30182,0.95,0.10099,0.11536,0.12394,0.01022
2022-03-01 00:04:00,43418.33,43419.33,43419.69,43419.94,43419.95,43421.0,43421.9,43421.96,43423.75,43424.92,0.20236,0.04766,0.07999,0.94335,0.32124,0.21577,0.02303,0.00426,0.04146,0.63643,43418.32,43417.84,43415.6,43415.57,43412.98,43411.38,43410.63,43409.47,43408.88,43408.68,0.19881,0.00426,0.0046,0.00921,0.1151,0.12809,0.154,0.385,0.02304,0.33678
2022-03-01 00:05:00,43348.54,43348.99,43349.0,43349.16,43349.17,43349.68,43352.46,43353.03,43354.85,43354.86,0.66347,0.21546,0.01954,0.71407,0.02972,0.09748,0.08998,0.00991,0.08997,0.00034,43348.53,43346.98,43344.96,43344.94,43344.7,43343.94,43343.6,43343.37,43342.18,43341.55,0.1455,0.05374,0.00092,0.80817,0.05476,0.09069,0.00545,0.08766,0.67498,0.14106
2022-03-01 00:06:00,43269.2,43270.76,43271.04,43271.05,43271.14,43271.35,43272.29,43272.99,43273.0,43274.51,1.05177,0.039,0.23112,0.0325,0.75042,0.747,0.05451,0.0035,0.03349,0.3398,43269.19,43267.26,43266.56,43265.43,43265.42,43265.3,43264.81,43264.8,43264.44,43264.32,0.28631,0.60842,0.00026,0.05654,0.0005,0.01649,0.25461,0.02623,0.00568,0.00026
2022-03-01 00:07:00,43305.41,43306.88,43306.9,43307.17,43307.33,43307.55,43308.6,43309.37,43309.47,43311.25,0.07999,0.01191,0.08249,0.00317,0.02491,0.07641,0.23093,0.747,0.08521,0.02309,43303.52,43302.94,43302.88,43302.83,43302.02,43301.12,43300.43,43300.42,43300.13,43300.0,0.86588,0.01768,0.0315,0.32567,0.01754,0.01113,0.17552,0.58752,0.0054,0.00046
2022-03-01 00:08:00,43407.14,43408.47,43408.77,43409.15,43409.16,43412.03,43412.3,43413.15,43413.35,43413.5,0.07359,0.01343,0.01022,0.042,0.02335,0.0243,0.43123,0.009,0.00536,0.154,43407.13,43406.71,43405.43,43403.83,43403.18,43402.49,43400.6,43400.45,43400.29,43400.0,0.29336,0.00427,0.01924,0.03191,0.11168,0.16582,0.05196,0.154,0.28561,1.0
