,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-02 00:01:00,44304.0,44304.5,44306.5,44307.5,44308.5,44309.5,44310.0,44310.5,44312.5,44313.0,100.998,3.097,0.097,0.097,0.097,0.167,0.023,0.04,1.762,2.313,44303.5,44303.0,44302.5,44302.0,44301.5,44301.0,44300.5,44300.0,44299.0,44298.0,12.621,3.808,0.5,2.142,0.862,1.248,1.025,3.936,0.005,0.394
2022-03-02 00:02:00,44390.5,44392.0,44395.0,44398.5,44400.0,44400.5,44401.0,44403.0,44405.0,44406.0,0.05,0.004,0.185,0.205,5.392,0.022,0.001,0.416,0.04,0.001,44390.0,44389.5,44387.5,44387.0,44386.0,44385.5,44385.0,44384.5,44384.0,44383.5,93.446,15.168,0.394,0.113,0.02,1.576,0.664,1.436,0.844,0.947
2022-03-02 00:03:00,44449.5,44450.0,44451.0,44452.0,44454.0,44455.0,44459.0,44459.5,44460.0,44461.0,4.589,0.104,0.188,0.001,0.05,0.018,0.453,0.453,0.453,0.511,44449.0,44448.5,44448.0,44447.5,44447.0,44446.5,44446.0,44445.5,44444.5,44443.5,93.411,10.584,1.04,1.445,1.08,2.519,0.171,0.564,0.112,0.942
2022-03-02 00:04:00,44635.0,44637.0,44637.5,44639.5,44640.0,44640.5,44642.0,44645.5,44646.5,44647.0,0.508,4.0,3.0,0.05,0.015,0.001,0.123,0.004,0.001,0.001,44634.5,44634.0,44633.0,44632.5,44632.0,44631.5,44629.0,44628.0,44627.5,44627.0,109.994,4.0,0.391,1.991,20.729,0.507,2.442,0.164,0.001,0.085
2022-03-02 00:05:00,44636.0,44636.5,44639.5,44641.0,44644.0,44644.5,44645.0,44646.0,44646.5,44647.0,54.438,3.448,0.001,0.3,0.79,0.46,1.084,0.01,1.41,0.673,44635.5,44635.0,44632.5,44632.0,44631.5,44631.0,44630.5,44630.0,44629.5,44629.0,49.426,4.148,0.01,0.001,3.19,0.915,0.813,0.147,1.636,1.059
2022-03-02 00:06:00,44562.5,44563.0,44565.0,44567.5,44570.0,44578.5,44579.0,44579.5,44580.0,44580.5,0.826,0.116,0.1,0.004,0.001,1.006,0.404,1.645,0.494,1.267,44562.0,44561.5,44561.0,44560.5,44560.0,44559.5,44559.0,44558.5,44558.0,44557.5,87.757,5.617,0.095,0.171,1.592,10.0,0.946,1.118,0.042,0.1
2022-03-02 00:07:00,44500.5,44501.0,44501.5,44502.5,44503.0,44503.5,44504.0,44504.5,44505.0,44505.5,129.753,3.826,0.68,0.813,1.294,2.031,1.479,3.2,1.325,0.493,44500.0,44499.5,44499.0,44498.5,44495.5,44495.0,44494.5,44493.5,44492.5,44492.0,7.752,3.3,3.0,0.001,0.002,0.001,0.001,0.01,2.399,0.341
2022-03-02 00:08:00,44424.0,44424.5,44425.0,44425.5,44426.5,44428.0,44429.0,44429.5,44430.0,44430.5,127.33,3.0,1.132,1.143,0.001,0.042,1.032,0.501,1.001,0.422,44423.5,44423.0,44422.0,44421.5,44421.0,44420.0,44419.5,44419.0,44418.0,44417.5,3.398,0.026,0.224,0.1,1.126,0.011,0.016,0.004,0.05,0.001
2022-03-02 00:09:00,44468.5,44469.0,44469.5,44470.0,44470.5,44471.0,44471.5,44472.0,44472.5,44473.0,85.848,4.519,0.412,0.889,0.489,0.266,0.303,4.885,0.001,0.004,44468.0,44467.5,44462.0,44460.5,44460.0,44459.5,44459.0,44458.5,44458.0,44457.5,35.03,3.004,11.514,0.3,3.284,1.019,2.277,0.01,1.999,0.001
2022-03-02 00:10:00,44469.5,44470.0,44472.5,44474.5,44475.0,44477.0,44477.5,44478.0,44478.5,44479.0,114.133,6.077,0.002,0.01,0.006,3.242,1.26,0.713,0.68,0.278,44469.0,44468.5,44468.0,44467.5,44463.5,44462.5,44462.0,44461.5,44461.0,44460.5,26.127,4.0,2.067,0.004,0.017,0.001,0.04,3.203,0.714,0.01
2022-03-02 00:12:00,44430.0,44430.5,44439.5,44440.0,44440.5,44441.0,44441.5,44442.0,44442.5,44443.0,47.408,4.0,1.663,0.141,1.93,0.322,1.376,0.713,0.064,3.214,44429.5,44429.0,44428.5,44428.0,44427.5,44427.0,44426.5,44426.0,44424.5,44424.0,56.32,4.039,0.001,0.045,3.245,1.886,0.001,0.104,0.75,0.001
2022-03-02 00:13:00,44495.0,44497.0,44498.5,44499.0,44500.0,44500.5,44504.0,44505.0,44510.0,44511.0,4.392,0.004,0.001,0.004,20.576,0.111,0.646,0.04,1.796,0.001,44494.5,44494.0,44493.5,44493.0,44492.5,44492.0,44491.5,44491.0,44490.5,44490.0,97.083,4.991,0.611,4.399,3.273,0.264,0.415,1.661,1.5,1.5
2022-03-02 00:14:00,44540.0,44540.5,44542.5,44543.0,44544.0,44545.0,44546.0,44546.5,44547.5,44548.0,23.685,3.452,0.001,0.001,0.034,0.1,0.3,0.019,0.042,15.0,44539.5,44539.0,44538.5,44538.0,44537.5,44537.0,44536.5,44536.0,44535.5,44535.0,108.967,5.003,1.118,3.184,0.924,2.405,0.021,0.001,0.209,0.078
2022-03-02 00:15:00,44520.0,44520.5,44524.0,44525.0,44525.5,44526.0,44527.5,44528.5,44529.5,44530.0,37.125,4.0,0.001,0.295,0.155,0.04,0.054,0.4,0.181,0.001,44519.5,44519.0,44518.5,44518.0,44517.5,44517.0,44516.5,44516.0,44515.5,44515.0,120.854,4.341,0.337,0.202,0.96,10.396,0.181,0.981,1.434,0.539
2022-03-02 00:16:00,44512.5,44513.0,44514.0,44515.0,44516.0,44517.0,44517.5,44518.0,44520.0,44520.5,83.508,4.025,0.04,0.985,2.343,0.334,0.99,0.064,1.372,0.046,44512.0,44511.5,44510.5,44510.0,44509.5,44509.0,44508.5,44508.0,44507.5,44507.0,9.804,0.365,0.001,0.067,0.003,0.001,0.007,0.001,0.01,3.661
2022-03-02 00:17:00,44479.0,44479.5,44483.0,44483.5,44484.5,44485.5,44486.0,44486.5,44487.0,44487.5,63.202,4.0,0.3,7.199,1.5,0.953,1.904,1.098,2.673,1.091,44478.5,44478.0,44477.5,44477.0,44476.0,44475.5,44475.0,44474.5,44473.5,44473.0,38.564,5.332,0.668,0.94,0.417,0.001,0.002,0.089,0.145,0.504
2022-03-02 00:18:00,44516.0,44516.5,44519.5,44520.0,44523.5,44524.0,44524.5,44525.0,44525.5,44526.0,25.993,3.0,0.08,1.125,0.678,0.2,0.021,0.214,0.187,0.001,44515.5,44515.0,44512.5,44512.0,44510.5,44510.0,44509.5,44507.0,44506.5,44506.0,106.769,4.074,0.002,1.583,0.001,0.231,1.585,0.168,1.262,4.177
2022-03-02 00:19:00,44502.0,44502.5,44503.0,44505.5,44507.0,44507.5,44508.0,44508.5,44509.0,44509.5,63.466,4.0,1.436,1.019,0.746,0.46,1.084,0.276,0.043,1.41,44501.5,44501.0,44500.5,44500.0,44499.5,44498.5,44498.0,44497.0,44496.5,44496.0,74.315,3.089,0.05,3.159,1.077,0.202,1.572,0.004,0.001,0.001
2022-03-02 00:20:00,44449.0,44449.5,44451.0,44451.5,44453.5,44456.0,44456.5,44458.5,44459.0,44459.5,89.215,3.0,0.04,0.106,1.31,1.348,0.443,3.213,1.716,1.318,44448.5,44447.0,44446.5,44445.5,44444.0,44443.0,44442.5,44442.0,44441.5,44441.0,45.395,4.037,4.0,0.002,1.6,0.001,0.001,3.204,0.566,0.01
2022-03-02 00:21:00,44500.0,44500.5,44502.0,44504.5,44505.0,44509.5,44510.0,44511.0,44512.0,44513.0,20.616,3.005,0.005,1.15,0.001,0.001,0.364,0.062,1.295,0.08,44499.5,44499.0,44498.5,44498.0,44497.5,44497.0,44496.5,44494.5,44494.0,44493.5,112.97,5.08,3.306,1.108,0.208,0.256,0.893,0.001,0.001,1.716
2022-03-02 00:23:00,44382.0,44382.5,44384.0,44385.0,44385.5,44388.0,44389.5,44390.0,44390.5,44391.0,79.832,4.453,0.337,3.9,0.453,0.005,0.436,0.677,1.186,0.08,44381.5,44381.0,44380.5,44380.0,44379.5,44379.0,44378.5,44378.0,44377.5,44377.0,57.463,0.147,3.058,6.432,1.059,0.519,0.43,2.693,1.482,0.574
2022-03-02 00:24:00,44222.5,44223.0,44227.0,44227.5,44228.0,44228.5,44229.0,44229.5,44230.0,44232.0,84.672,4.0,1.437,0.46,1.089,0.279,0.043,1.41,0.879,1.729,44222.0,44221.5,44220.5,44220.0,44219.0,44218.5,44218.0,44217.0,44215.5,44215.0,34.472,3.004,0.11,0.003,0.113,0.077,0.217,0.05,0.01,1.751
