,open,high,low,close,volume
2022-03-03 00:02:00,43910.5,43940.0,43910.0,43910.5,44.168
2022-03-03 00:03:00,43910.5,43910.5,43820.0,43830.0,79.757
2022-03-03 00:04:00,43830.0,43830.0,43750.0,43780.0,122.359
2022-03-03 00:05:00,43780.0,43800.0,43779.5,43793.0,19.803
2022-03-03 00:06:00,43793.0,43831.0,43792.5,43801.0,73.569
2022-03-03 00:07:00,43801.0,43801.0,43791.0,43791.0,14.908
2022-03-03 00:08:00,43791.0,43791.0,43686.0,43698.0,94.57
2022-03-03 00:09:00,43698.0,43750.0,43698.0,43745.0,59.844
2022-03-03 00:10:00,43745.0,43750.0,43730.0,43730.5,10.972
2022-03-03 00:11:00,43730.5,43730.5,43686.5,43702.0,34.717
2022-03-03 00:13:00,43700.0,43726.0,43699.5,43711.0,20.038
2022-03-03 00:14:00,43711.0,43711.5,43698.0,43698.5,19.496
2022-03-03 00:15:00,43698.5,43736.0,43698.0,43736.0,58.704
2022-03-03 00:16:00,43736.0,43740.5,43735.5,43740.5,12.551
2022-03-03 00:17:00,43740.5,43800.0,43740.5,43800.0,56.559
2022-03-03 00:18:00,43800.0,43812.0,43800.0,43812.0,20.216
2022-03-03 00:19:00,43812.0,43813.0,43800.0,43800.0,27.359
2022-03-03 00:20:00,43800.0,43828.5,43800.0,43828.5,79.647
2022-03-03 00:21:00,43828.5,43828.5,43816.0,43826.5,15.121
2022-03-03 00:22:00,43826.5,43843.0,43826.0,43842.0,25.184
2022-03-03 00:24:00,43831.5,43832.0,43831.5,43832.0,4.289
2022-03-03 00:25:00,43832.0,43832.0,43805.5,43806.0,12.884
2022-03-03 00:26:00,43806.0,43849.0,43801.5,43849.0,63.949
2022-03-03 00:27:00,43849.0,43849.0,43848.5,43849.0,18.827
2022-03-03 00:28:00,43849.0,43856.0,43848.5,43856.0,10.665
2022-03-03 00:29:00,43856.0,43856.0,43855.5,43855.5,4.75
2022-03-03 00:30:00,43855.5,43888.0,43855.5,43888.0,20.709
2022-03-03 00:31:00,43888.0,43928.0,43887.5,43915.0,42.129
2022-03-03 00:32:00,43915.0,43915.0,43909.5,43909.5,19.186
2022-03-03 00:33:00,43909.5,43984.5,43909.5,43974.0,66.093
2022-03-03 00:35:00,43934.5,43934.5,43934.0,43934.0,9.246
2022-03-03 00:36:00,43934.0,43934.5,43910.0,43916.0,11.566
2022-03-03 00:37:00,43916.0,43930.5,43915.5,43917.5,7.411
2022-03-03 00:38:00,43917.5,43917.5,43900.0,43900.0,21.131
2022-03-03 00:39:00,43900.0,43910.0,43900.0,43909.5,15.783
2022-03-03 00:40:00,43909.5,43919.5,43909.5,43919.5,14.287
2022-03-03 00:41:00,43919.5,43919.5,43919.0,43919.0,6.821
2022-03-03 00:42:00,43919.0,43919.5,43885.5,43896.0,11.862
2022-03-03 00:43:00,43896.0,43908.5,43896.0,43908.5,10.114
2022-03-03 00:44:00,43908.5,43930.0,43908.5,43930.0,17.984
2022-03-03 00:46:00,43957.5,43964.0,43957.5,43964.0,15.633
2022-03-03 00:47:00,43964.0,43964.0,43950.5,43950.5,36.923
2022-03-03 00:48:00,43950.5,43951.0,43950.5,43951.0,19.538
2022-03-03 00:49:00,43951.0,43956.0,43950.5,43956.0,13.831
2022-03-03 00:50:00,43956.0,43973.5,43955.5,43973.5,9.842
2022-03-03 00:51:00,43973.5,43973.5,43957.0,43957.0,10.291
2022-03-03 00:52:00,43957.0,43957.5,43950.5,43950.5,7.859
2022-03-03 00:53:00,43950.5,43951.0,43950.5,43951.0,12.106
2022-03-03 00:54:00,43951.0,43957.5,43951.0,43957.5,8.127
2022-03-03 00:55:00,43957.5,44021.5,43957.0,44021.5,78.157
2022-03-03 00:57:00,43990.0,43990.5,43979.0,43979.5,18.717
2022-03-03 00:58:00,43979.5,43979.5,43979.0,43979.5,8.088
2022-03-03 00:59:00,43979.5,43979.5,43979.0,43979.0,14.608
2022-03-03 01:00:00,43979.0,43979.5,43979.0,43979.5,3.252
2022-03-03 01:01:00,43979.5,43979.5,43950.5,43950.5,31.747
2022-03-03 01:02:00,43950.5,43951.0,43950.5,43950.5,20.285
2022-03-03 01:03:00,43950.5,43951.0,43950.5,43951.0,12.49
2022-03-03 01:04:00,43951.0,43953.0,43950.5,43953.0,13.94
2022-03-03 01:05:00,43953.0,43955.0,43953.0,43955.0,20.142
2022-03-03 01:06:00,43955.0,43955.0,43954.5,43954.5,1.983
2022-03-03 01:08:00,43954.5,43955.0,43954.5,43955.0,5.184
2022-03-03 01:09:00,43955.0,43955.0,43912.0,43917.0,25.738
2022-03-03 01:10:00,43917.0,43917.0,43827.0,43827.0,141.742
2022-03-03 01:11:00,43827.0,43827.5,43803.0,43826.5,52.686
2022-03-03 01:12:00,43826.5,43827.0,43729.0,43754.0,82.51
2022-03-03 01:13:00,43754.0,43760.0,43753.5,43760.0,30.723
2022-03-03 01:14:00,43760.0,43760.0,43740.0,43742.5,40.05
2022-03-03 01:15:00,43742.5,43800.5,43741.0,43800.5,39.537
2022-03-03 01:16:00,43800.5,43800.5,43741.5,43742.0,29.76
2022-03-03 01:17:00,43742.0,43787.5,43741.5,43787.0,30.75
2022-03-03 01:19:00,43817.5,43818.0,43780.0,43780.0,78.372
2022-03-03 01:20:00,43780.0,43796.0,43777.5,43794.5,27.116
2022-03-03 01:21:00,43794.5,43813.5,43794.5,43813.5,16.309
2022-03-03 01:22:00,43813.5,43818.0,43783.0,43783.5,48.143
2022-03-03 01:23:00,43783.5,43844.0,43783.5,43832.5,83.114
2022-03-03 01:24:00,43832.5,43851.5,43832.5,43851.0,18.086
2022-03-03 01:25:00,43851.0,43862.0,43851.0,43862.0,17.577
2022-03-03 01:26:00,43862.0,43862.0,43861.5,43861.5,16.993
2022-03-03 01:27:00,43861.5,43862.0,43861.5,43861.5,16.456
2022-03-03 01:28:00,43861.5,43861.5,43815.0,43845.5,32.941
2022-03-03 01:30:00,43861.5,43882.0,43861.5,43882.0,22.617
2022-03-03 01:31:00,43882.0,43921.0,43882.0,43921.0,64.702
2022-03-03 01:32:00,43921.0,43950.0,43920.5,43949.5,28.976
2022-03-03 01:33:00,43949.5,44020.0,43949.5,43985.0,104.634
2022-03-03 01:34:00,43985.0,43985.0,43976.0,43976.5,14.603
2022-03-03 01:35:00,43976.5,43976.5,43950.0,43950.5,31.45
2022-03-03 01:36:00,43950.5,43950.5,43926.0,43926.0,17.184
2022-03-03 01:37:00,43926.0,43926.5,43926.0,43926.5,63.682
