,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-02 23:55:00,43913.86,43913.87,43915.07,43916.43,43918.93,43919.37,43920.21,43921.1,43921.71,43923.05,0.01,0.3944703,0.36148968,0.052,0.00568582,0.08138443,0.95149377,0.15,0.05945039,0.03336909,43894.42,43893.55,43890.08,43889.68,43885.04,43885.03,43883.68,43883.67,43882.05,43880.29,0.09,0.057,0.052,0.03487471,0.08569513,0.75796803,0.02276966,0.02276966,0.06,0.566
2022-03-02 23:55:00,43846.67,43847.77,43849.37,43852.08,43852.56,43853.7,43855.82,43857.24,43857.4,43859.05,0.057,0.47875737,0.0834565,0.38807429,0.03375873,0.49154929,0.02280377,0.02280317,0.566,0.04749685,43829.28,43828.99,43825.14,43825.13,43820.28,43818.41,43816.69,43816.62,43816.43,43815.55,0.09,0.052,0.26742132,0.77930188,0.03424263,0.02378073,0.09927787,0.04756145,0.057,0.02280519
2022-03-02 23:55:00,43945.49,43947.08,43947.45,43949.87,43952.13,43954.13,43955.68,43955.69,43955.7,43955.71,0.057,0.052,0.566,0.45577867,0.04768129,0.08581035,0.39316107,0.15,0.02275364,0.02275363,43934.23,43931.27,43915.31,43914.77,43914.56,43914.55,43913.41,43907.21,43907.2,43907.18,0.3787824,0.39291138,0.02275475,0.02275501,0.09692402,0.03425998,0.00568582,0.01408301,0.14024382,0.26742132
2022-03-03,43919.53,43924.24,43924.25,43925.31,43928.24,43933.69,43933.7,43933.71,43939.29,43939.62,0.057,0.01,0.36841399,0.566,0.37848329,0.11627714,0.15,0.00203854,0.04750618,0.02276152,43904.74,43904.55,43902.68,43900.93,43900.57,43898.72,43897.38,43893.68,43891.44,43891.43,0.09,0.04265702,0.26742132,0.03500372,0.38836858,0.04552666,0.11627714,0.39275433,0.08067911,0.05690289
2022-03-03,43853.68,43853.71,43853.72,43853.73,43856.62,43857.06,43858.89,43865.45,43865.46,43866.12,0.09,0.01,0.20458755,0.17348935,0.052,0.36563995,0.04,0.39087715,0.15,0.02279944,43832.4,43832.39,43830.49,43830.08,43828.59,43827.27,43825.03,43823.93,43823.92,43823.1,0.07541245,0.76329222,0.052,0.00568582,0.0423946,0.057,0.02280134,0.07917784,0.02280152,0.03339775
2022-03-03,43798.69,43798.7,43799.76,43799.77,43800.37,43804.94,43804.96,43809.62,43809.66,43810.05,0.28,0.052,0.39021837,0.39624505,0.05026206,0.07185505,0.00210825,0.04565516,0.04748826,0.17881458,43776.53,43774.35,43774.33,43772.2,43771.73,43770.05,43768.25,43765.75,43765.74,43764.34,0.09,0.052,0.331,0.07439321,0.02282758,0.057,0.0347856,0.3823566,0.02378073,0.04
2022-03-03,43802.67,43804.25,43804.26,43805.94,43805.95,43806.27,43806.87,43806.88,43814.82,43815.42,0.052,0.01,0.09,0.28,0.09,0.04167666,0.39090593,0.37737195,0.00199141,0.08742934,43788.43,43782.71,43782.7,43779.15,43778.57,43777.51,43777.5,43775.77,43775.76,43772.99,0.057,0.0025,0.06,0.04,0.04564808,0.0348828,0.39131238,0.08742934,0.36396252,0.04750355
2022-03-03,43805.53,43805.54,43806.7,43806.91,43807.99,43811.26,43811.46,43812.46,43812.47,43812.77,2.08,0.09,0.052,0.09,0.0413719,0.06692033,0.01,0.28,0.3840677,0.057,43789.74,43787.22,43783.76,43783.09,43779.83,43779.66,43777.99,43777.98,43774.6,43772.45,0.38719919,0.36503377,0.04,0.03373312,0.02282302,0.057,0.0688234,0.04750355,0.17875422,0.04765702
2022-03-03 00:06:00,43785.67,43785.7,43785.72,43789.38,43789.39,43789.4,43792.8,43792.81,43796.83,43798.56,0.052,0.052,0.09,0.01,0.28,0.3680191,0.0728529,0.057,0.42430662,0.02283172,43771.74,43765.8,43765.79,43762.95,43762.94,43762.87,43762.56,43761.04,43760.99,43758.81,0.03348683,0.0015,0.38855822,0.39794496,0.057,0.17879758,0.01190887,0.02283174,0.02283176,0.0728529
2022-03-03 00:06:00,43733.5,43733.51,43733.52,43737.31,43738.02,43741.75,43741.76,43747.27,43749.3,43751.27,0.01,0.28,0.3674424,0.38462358,0.04436613,0.07588711,0.15,0.00218473,0.02285875,0.057,43713.29,43713.13,43713.12,43710.84,43708.68,43708.34,43707.78,43707.43,43704.49,43704.48,0.02285789,0.0015,0.09,0.052,0.07481087,0.76459964,0.03453118,0.07863343,0.00210636,0.06
2022-03-03 00:06:00,43736.24,43739.41,43739.49,43746.07,43746.08,43746.66,43746.68,43746.69,43747.64,43749.07,0.052,0.3797661,0.09,0.09684382,0.04,0.28,0.37184466,0.02286012,0.02285986,0.0999964,43722.11,43711.71,43711.58,43711.49,43711.48,43707.68,43706.8,43705.72,43704.5,43704.38,0.03487538,0.02285914,0.0228592,0.09684382,0.052,0.76152636,0.4401405,0.00210603,0.02382851,0.05
