,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-02 00:06:00,44614.0,44618.0,44619.0,44620.0,44622.0,44625.0,44628.0,44632.0,44634.0,44635.0,0.37,0.0063,0.0341,0.1121,1.6673,0.2031,0.2477,0.0089,0.0484,1.1321,44613.0,44611.0,44608.0,44607.0,44604.0,44603.0,44602.0,44601.0,44600.0,44599.0,0.378,0.255,0.33,0.1441,0.1717,0.0088,0.1802,0.1441,1.1123,0.6515
2022-03-02 00:07:00,44541.0,44542.0,44543.0,44544.0,44545.0,44547.0,44549.0,44550.0,44553.0,44555.0,0.3591,0.33,0.2441,1.5837,0.1123,0.2031,0.3591,0.1399,0.0088,0.1441,44540.0,44539.0,44538.0,44534.0,44533.0,44530.0,44529.0,44527.0,44526.0,44523.0,5.2039,0.04,0.0852,0.32,0.0003,0.0303,0.0088,0.1128,0.9675,0.0063
2022-03-02 00:08:00,44460.0,44461.0,44468.0,44471.0,44472.0,44473.0,44477.0,44481.0,44485.0,44487.0,2.4877,2.0866,0.1125,0.1531,1.046,0.4741,0.225,0.2249,0.0338,0.0142,44459.0,44458.0,44457.0,44456.0,44455.0,44454.0,44453.0,44452.0,44450.0,44448.0,0.4692,0.372,0.1998,0.0004,0.0003,0.0023,0.9933,0.0063,0.0002,0.0012
2022-03-02 00:09:00,44507.0,44508.0,44510.0,44511.0,44512.0,44515.0,44516.0,44517.0,44518.0,44519.0,0.3441,0.3611,0.0091,1.7137,0.1,0.0336,0.5,0.9667,0.2248,0.0876,44506.0,44503.0,44502.0,44501.0,44500.0,44487.0,44486.0,44485.0,44479.0,44478.0,0.2,0.215,0.33,0.1992,0.3001,0.4498,0.2,0.0091,1.0701,0.2247
2022-03-02 00:10:00,44510.0,44515.0,44516.0,44517.0,44518.0,44520.0,44522.0,44523.0,44527.0,44530.0,0.1,0.0273,0.43,0.2247,1.4248,0.0092,0.0585,0.0331,0.1441,0.0872,44509.0,44508.0,44502.0,44501.0,44500.0,44499.0,44495.0,44494.0,44493.0,44489.0,0.6659,0.255,0.33,0.1992,0.0554,0.0063,1.0091,0.9435,1.0979,0.2031
2022-03-02 00:11:00,44530.0,44531.0,44532.0,44535.0,44537.0,44538.0,44540.0,44543.0,44544.0,44545.0,0.3306,0.33,1.4311,0.1123,1.1868,0.9892,0.1056,0.2246,0.0001,0.0876,44526.0,44525.0,44524.0,44523.0,44521.0,44517.0,44515.0,44512.0,44508.0,44506.0,0.2262,0.37,0.1864,0.3114,0.1714,0.2,0.1781,0.16,3.0554,0.1
2022-03-02 00:12:00,44499.0,44500.0,44501.0,44504.0,44510.0,44511.0,44515.0,44519.0,44520.0,44521.0,0.9252,0.0001,0.2248,4.5767,0.0092,2.7411,1.6752,0.0336,0.2031,0.0876,44494.0,44493.0,44487.0,44486.0,44485.0,44484.0,44483.0,44482.0,44481.0,44480.0,0.33,0.215,0.03,0.0092,0.9055,0.2,0.215,0.0453,1.0648,0.2031
2022-03-02 00:13:00,44556.0,44557.0,44558.0,44565.0,44566.0,44567.0,44571.0,44575.0,44576.0,44578.0,0.0006,0.33,0.5195,0.0163,0.0001,0.0092,0.0063,0.9067,2.0882,0.1,44555.0,44554.0,44553.0,44549.0,44546.0,44545.0,44544.0,44542.0,44541.0,44534.0,0.415,0.079,0.0852,0.1441,0.1441,0.2031,0.1128,0.9335,0.2244,0.4498
2022-03-02 00:14:00,44584.0,44585.0,44586.0,44588.0,44589.0,44595.0,44596.0,44597.0,44600.0,44604.0,0.415,0.3481,0.4305,0.039,0.2243,0.1779,0.1,0.4963,1.7751,0.7987,44583.0,44581.0,44575.0,44573.0,44572.0,44571.0,44566.0,44565.0,44561.0,44558.0,0.217,0.0007,0.33,0.0091,3.1084,0.2112,0.3122,0.07,0.618,0.3363
2022-03-02 00:15:00,44563.0,44565.0,44567.0,44571.0,44572.0,44573.0,44574.0,44577.0,44579.0,44580.0,0.415,0.33,0.215,1.4858,0.9669,0.2244,0.0224,0.0331,0.0872,0.0585,44562.0,44558.0,44557.0,44552.0,44550.0,44549.0,44547.0,44546.0,44544.0,44543.0,0.215,0.33,0.215,0.1122,1.3631,0.4684,0.0063,0.2031,0.0001,1.4039
