,open,high,low,close,volume
2022-03-03 00:02:00,43952.0,43969.0,43915.0,43920.0,139592.3149
2022-03-03 00:03:00,43920.0,43925.0,43836.0,43856.0,148321.1676
2022-03-03 00:04:00,43856.0,43856.0,43774.0,43791.0,169276.1854
2022-03-03 00:05:00,43791.0,43831.0,43791.0,43802.0,48635.1684
2022-03-03 00:06:00,43802.0,43839.0,43788.0,43814.0,38223.1955
2022-03-03 00:07:00,43805.0,43811.0,43788.0,43790.0,1081.9716
2022-03-03 00:08:00,43786.0,43789.0,43708.0,43736.0,503149.8403
2022-03-03 00:09:00,43736.0,43784.0,43729.0,43770.0,73148.0674
2022-03-03 00:10:00,43770.0,43784.0,43738.0,43738.0,33353.8046
2022-03-03 00:11:00,43738.0,43738.0,43714.0,43714.0,26838.202
2022-03-03 00:13:00,43738.0,43760.0,43721.0,43726.0,32585.3517
2022-03-03 00:14:00,43726.0,43739.0,43704.0,43711.0,24643.4054
2022-03-03 00:15:00,43711.0,43769.0,43708.0,43758.0,30677.4587
2022-03-03 00:16:00,43758.0,43781.0,43749.0,43781.0,1299.9151
2022-03-03 00:17:00,43781.0,43836.0,43780.0,43832.0,96929.9708
2022-03-03 00:18:00,43832.0,43848.0,43821.0,43830.0,20814.406
2022-03-03 00:19:00,43830.0,43849.0,43810.0,43810.0,1779.4464
2022-03-03 00:20:00,43810.0,43861.0,43810.0,43826.0,10567.2957
2022-03-03 00:21:00,43826.0,43857.0,43825.0,43857.0,24703.271
2022-03-03 00:22:00,43857.0,43872.0,43846.0,43854.0,4644.865
2022-03-03 00:24:00,43847.0,43859.0,43841.0,43842.0,84446.2243
2022-03-03 00:25:00,43842.0,43843.0,43810.0,43811.0,19714.0164
2022-03-03 00:26:00,43811.0,43881.0,43801.0,43881.0,42252.19
2022-03-03 00:27:00,43881.0,43881.0,43858.0,43871.0,167520.3389
2022-03-03 00:28:00,43871.0,43899.0,43867.0,43883.0,140772.4181
2022-03-03 00:29:00,43884.0,43891.0,43869.0,43880.0,13999.7887
2022-03-03 00:30:00,43880.0,43921.0,43880.0,43921.0,140634.7476
2022-03-03 00:31:00,43921.0,43964.0,43921.0,43946.0,104103.3646
2022-03-03 00:32:00,43946.0,43948.0,43911.0,43921.0,7565.5206
2022-03-03 00:33:00,43921.0,44001.0,43921.0,43993.0,393199.6333
2022-03-03 00:35:00,43959.0,43967.0,43952.0,43952.0,19903.2222
2022-03-03 00:36:00,43952.0,43964.0,43937.0,43939.0,8789.9584
2022-03-03 00:37:00,43939.0,43953.0,43931.0,43932.0,7277.589
2022-03-03 00:38:00,43932.0,43932.0,43904.0,43927.0,22521.9606
2022-03-03 00:39:00,43927.0,43940.0,43906.0,43921.0,3931.3579
2022-03-03 00:40:00,43921.0,43947.0,43915.0,43943.0,43710.3761
2022-03-03 00:41:00,43943.0,43946.0,43931.0,43946.0,5228.6104
2022-03-03 00:42:00,43946.0,43946.0,43907.0,43927.0,12483.0948
2022-03-03 00:43:00,43927.0,43943.0,43923.0,43936.0,7072.1087
2022-03-03 00:44:00,43936.0,43963.0,43933.0,43952.0,81507.6872
2022-03-03 00:46:00,43992.0,43994.0,43978.0,43987.0,20074.3795
2022-03-03 00:47:00,43987.0,43991.0,43957.0,43963.0,164531.3129
2022-03-03 00:48:00,43963.0,43983.0,43961.0,43980.0,21462.0159
2022-03-03 00:49:00,43979.0,43992.0,43973.0,43982.0,7939.4994
2022-03-03 00:50:00,43982.0,44009.0,43973.0,44004.0,21028.5233
2022-03-03 00:51:00,44004.0,44004.0,43973.0,43974.0,91979.3731
2022-03-03 00:52:00,43974.0,43974.0,43954.0,43964.0,71015.9446
2022-03-03 00:53:00,43964.0,43983.0,43956.0,43982.0,681.5921
2022-03-03 00:54:00,43982.0,43993.0,43977.0,43993.0,41736.268
2022-03-03 00:55:00,43993.0,44064.0,43990.0,44064.0,78279.1627
2022-03-03 00:57:00,44005.0,44008.0,43981.0,43986.0,25910.4662
2022-03-03 00:58:00,43986.0,44002.0,43986.0,43992.0,97757.3897
